variable,EUA_ret,TTF_ret,Brent_ret,Power_ret,CPI_yoy_change,IP_growth,Bund2Y_change_bps,CISS_change,GreenEquity_relative,GreenBond_relative
EUA_ret,1.0,0.21916762917283697,0.2519679381956233,0.027281859824050715,0.11122786072893269,0.09668454118494223,0.0627808252801664,-0.3518674276456385,0.034457958416744094,-0.09130421596424552
TTF_ret,0.21916762917283697,1.0,0.164125323977503,0.2716458038487437,0.16283208443022087,0.09298786520787726,0.005596506049843651,-0.01390466002823364,0.08154888213248086,-0.058052138028609195
Brent_ret,0.2519679381956233,0.164125323977503,1.0,0.06067872866993397,0.1785464035681784,0.29845607163650034,0.16229554199318286,-0.3846159517708589,0.04855826327742975,-0.3010662172113043
Power_ret,0.027281859824050715,0.2716458038487437,0.06067872866993397,1.0,0.2879659399383766,0.04864170968928682,0.17477086577748097,0.036035033520075616,0.0366401818740122,-0.0881768081104622
CPI_yoy_change,0.11122786072893269,0.16283208443022087,0.1785464035681784,0.2879659399383766,1.0,0.14647386797978748,0.19885493634568888,0.12725289602639928,0.018646514403889033,-0.1604624590516799
IP_growth,0.09668454118494223,0.09298786520787726,0.29845607163650034,0.04864170968928682,0.14647386797978748,1.0,0.07410911178088113,-0.07814835598108175,-0.019127817042594444,-0.04763951541789807
Bund2Y_change_bps,0.0627808252801664,0.005596506049843651,0.16229554199318286,0.17477086577748097,0.19885493634568888,0.07410911178088113,1.0,-0.052636829939800754,0.0040755924632853375,0.013818257087533179
CISS_change,-0.3518674276456385,-0.01390466002823364,-0.3846159517708589,0.036035033520075616,0.12725289602639928,-0.07814835598108175,-0.052636829939800754,1.0,-0.03944345851164903,0.032834721733107565
GreenEquity_relative,0.034457958416744094,0.08154888213248086,0.04855826327742975,0.0366401818740122,0.018646514403889033,-0.019127817042594444,0.0040755924632853375,-0.03944345851164903,1.0,-0.0665937686561339
GreenBond_relative,-0.09130421596424552,-0.058052138028609195,-0.3010662172113043,-0.0881768081104622,-0.1604624590516799,-0.04763951541789807,0.013818257087533179,0.032834721733107565,-0.0665937686561339,1.0
