dataset,condition_number,singular_values,note
data_model_diff,2.2526062333051358,17.44668346;14.54578517;12.59874787;12.30903402;11.87725349;11.47519337;10.48447248;9.799821908;9.224748563;7.745110175,Variables were standardized temporarily only for this diagnostic.
data_model_levels,2.194284276897807,16.8006725;16.35975102;12.89766199;12.54130921;11.71559703;11.40336777;9.824074379;9.339322809;8.173829964;7.656561494,Variables were standardized temporarily only for this diagnostic.
