model_id,lag,variance_type,run_type,chain,seed,burnin,draws,thin,elapsed_seconds,file
BVAR-HOM-p1-pilot,1,homoskedastic,pilot,NA,20261,2000,2000,1,4.073092937469482,output/models/bvar_hom_p1_pilot.rds
BVAR-HOM-p2-pilot,2,homoskedastic,pilot,NA,20262,2000,2000,1,10.719236850738525,output/models/bvar_hom_p2_pilot.rds
BVAR-HOM-final-chain1,1,homoskedastic,final,1,20261,20000,20000,1,45.442402839660645,output/models/bvar_hom_final_chain1.rds
BVAR-HOM-final-chain2,1,homoskedastic,final,2,20262,20000,20000,1,44.24766397476196,output/models/bvar_hom_final_chain2.rds
BVAR-HOM-final-chain3,1,homoskedastic,final,3,20263,20000,20000,1,44.21186399459839,output/models/bvar_hom_final_chain3.rds
