package,installed,version
readr,TRUE,2.1.5
dplyr,TRUE,1.1.4
tidyr,TRUE,1.3.1
ggplot2,TRUE,4.0.1
vars,TRUE,1.6.1
bayesianVARs,TRUE,0.1.8
posterior,TRUE,1.7.0
coda,TRUE,0.19.4.1
forecast,TRUE,9.0.2
tseries,TRUE,0.10.58
moments,TRUE,0.14.1
patchwork,TRUE,1.3.0
