model_id,chain,parameter,chain_effective_sample_size
BVAR-HOM-final-chain2,2,own_lag1__IP_growth,8065.3779615339745
BVAR-HOM-final-chain2,2,own_lag1__Bund2Y_change,10000
BVAR-HOM-final-chain2,2,own_lag1__CISS_change,6362.074960206412
BVAR-HOM-final-chain2,2,own_lag1__GreenEquity_relative,9924.531084851978
BVAR-HOM-final-chain2,2,own_lag1__GreenBond_relative,8271.778553450295
BVAR-HOM-final-chain2,2,lag1__EUA_ret__to__GreenEquity_relative,9651.639777523033
BVAR-HOM-final-chain2,2,lag1__TTF_ret__to__GreenEquity_relative,9999.999999999976
BVAR-HOM-final-chain2,2,lag1__Brent_ret__to__GreenEquity_relative,10000.000000000033
BVAR-HOM-final-chain2,2,lag1__Power_ret__to__GreenEquity_relative,10000.000000000016
BVAR-HOM-final-chain2,2,lag1__CPI_yoy_change__to__GreenEquity_relative,9999.99999999999
BVAR-HOM-final-chain2,2,lag1__IP_growth__to__GreenEquity_relative,9357.163468261457
BVAR-HOM-final-chain2,2,lag1__Bund2Y_change__to__GreenEquity_relative,9999.99999999996
BVAR-HOM-final-chain2,2,lag1__CISS_change__to__GreenEquity_relative,8744.622191993578
BVAR-HOM-final-chain2,2,intercept__GreenEquity_relative,9558.534080158239
BVAR-HOM-final-chain2,2,lag1__EUA_ret__to__GreenBond_relative,9317.237841431519
BVAR-HOM-final-chain2,2,lag1__TTF_ret__to__GreenBond_relative,10000.000000000013
BVAR-HOM-final-chain2,2,lag1__Brent_ret__to__GreenBond_relative,10392.188191397521
BVAR-HOM-final-chain2,2,lag1__Power_ret__to__GreenBond_relative,9999.99999999996
BVAR-HOM-final-chain2,2,lag1__CPI_yoy_change__to__GreenBond_relative,10000.000000000011
BVAR-HOM-final-chain2,2,lag1__IP_growth__to__GreenBond_relative,10000.00000000001
BVAR-HOM-final-chain2,2,lag1__Bund2Y_change__to__GreenBond_relative,10000
BVAR-HOM-final-chain2,2,lag1__CISS_change__to__GreenBond_relative,10000.000000000005
BVAR-HOM-final-chain2,2,intercept__GreenBond_relative,10000.00000000001
BVAR-HOM-final-chain2,2,sv_mu__EUA_ret,0
BVAR-HOM-final-chain2,2,sv_mu__TTF_ret,0
BVAR-HOM-final-chain2,2,sv_mu__Brent_ret,0
BVAR-HOM-final-chain2,2,sv_mu__Power_ret,0
BVAR-HOM-final-chain2,2,sv_mu__CPI_yoy_change,0
BVAR-HOM-final-chain2,2,sv_mu__IP_growth,0
BVAR-HOM-final-chain2,2,sv_mu__Bund2Y_change,0
BVAR-HOM-final-chain2,2,sv_mu__CISS_change,0
BVAR-HOM-final-chain2,2,sv_mu__GreenEquity_relative,0
BVAR-HOM-final-chain2,2,sv_mu__GreenBond_relative,0
BVAR-HOM-final-chain2,2,sv_phi__EUA_ret,0
BVAR-HOM-final-chain2,2,sv_phi__TTF_ret,0
BVAR-HOM-final-chain2,2,sv_phi__Brent_ret,0
BVAR-HOM-final-chain2,2,sv_phi__Power_ret,0
BVAR-HOM-final-chain2,2,sv_phi__CPI_yoy_change,0
BVAR-HOM-final-chain2,2,sv_phi__IP_growth,0
BVAR-HOM-final-chain2,2,sv_phi__Bund2Y_change,0
BVAR-HOM-final-chain2,2,sv_phi__CISS_change,0
BVAR-HOM-final-chain2,2,sv_phi__GreenEquity_relative,0
BVAR-HOM-final-chain2,2,sv_phi__GreenBond_relative,0
BVAR-HOM-final-chain2,2,sv_sigma2__EUA_ret,0
BVAR-HOM-final-chain2,2,sv_sigma2__TTF_ret,0
BVAR-HOM-final-chain2,2,sv_sigma2__Brent_ret,0
BVAR-HOM-final-chain2,2,sv_sigma2__Power_ret,0
BVAR-HOM-final-chain2,2,sv_sigma2__CPI_yoy_change,0
BVAR-HOM-final-chain2,2,sv_sigma2__IP_growth,0
BVAR-HOM-final-chain2,2,sv_sigma2__Bund2Y_change,0
BVAR-HOM-final-chain2,2,sv_sigma2__CISS_change,0
BVAR-HOM-final-chain2,2,sv_sigma2__GreenEquity_relative,0
BVAR-HOM-final-chain2,2,sv_sigma2__GreenBond_relative,0
BVAR-HOM-final-chain2,2,cholesky_U_1,2511.1683123421058
BVAR-HOM-final-chain2,2,cholesky_U_2,1381.639117662258
BVAR-HOM-final-chain2,2,cholesky_U_3,1192.454746528409
BVAR-HOM-final-chain2,2,cholesky_U_4,5877.133306787979
BVAR-HOM-final-chain2,2,cholesky_U_5,212.13990027111797
BVAR-HOM-final-chain2,2,cholesky_U_6,2801.0231352889655
