model_id,chain,parameter,chain_effective_sample_size
BVAR-SV-final-chain3,3,lag1__CISS_change__to__GreenEquity_relative,3068.262370062953
BVAR-SV-final-chain3,3,intercept__GreenEquity_relative,2983.7122956942057
BVAR-SV-final-chain3,3,lag1__EUA_ret__to__GreenBond_relative,3970.4721023905436
BVAR-SV-final-chain3,3,lag1__TTF_ret__to__GreenBond_relative,875.9523331424305
BVAR-SV-final-chain3,3,lag1__Brent_ret__to__GreenBond_relative,5966.208529532834
BVAR-SV-final-chain3,3,lag1__Power_ret__to__GreenBond_relative,1126.466177138606
BVAR-SV-final-chain3,3,lag1__CPI_yoy_change__to__GreenBond_relative,5662.465186543873
BVAR-SV-final-chain3,3,lag1__IP_growth__to__GreenBond_relative,5295.973673957925
BVAR-SV-final-chain3,3,lag1__Bund2Y_change__to__GreenBond_relative,1045.6793243675158
BVAR-SV-final-chain3,3,lag1__CISS_change__to__GreenBond_relative,2122.0000074096233
BVAR-SV-final-chain3,3,intercept__GreenBond_relative,3311.403476747208
BVAR-SV-final-chain3,3,sv_mu__EUA_ret,2488.897840777404
BVAR-SV-final-chain3,3,sv_mu__TTF_ret,3226.495189819241
BVAR-SV-final-chain3,3,sv_mu__Brent_ret,2361.0800083841245
BVAR-SV-final-chain3,3,sv_mu__Power_ret,3162.9960993229006
BVAR-SV-final-chain3,3,sv_mu__CPI_yoy_change,3773.073859299165
BVAR-SV-final-chain3,3,sv_mu__IP_growth,3733.860865447116
BVAR-SV-final-chain3,3,sv_mu__Bund2Y_change,2816.3680508533434
BVAR-SV-final-chain3,3,sv_mu__CISS_change,640.7242203108348
BVAR-SV-final-chain3,3,sv_mu__GreenEquity_relative,3142.112484282851
BVAR-SV-final-chain3,3,sv_mu__GreenBond_relative,1546.3358161658687
BVAR-SV-final-chain3,3,sv_phi__EUA_ret,511.078795901684
BVAR-SV-final-chain3,3,sv_phi__TTF_ret,690.8653734605322
BVAR-SV-final-chain3,3,sv_phi__Brent_ret,540.011897432147
BVAR-SV-final-chain3,3,sv_phi__Power_ret,958.9932158202072
BVAR-SV-final-chain3,3,sv_phi__CPI_yoy_change,577.097666767433
BVAR-SV-final-chain3,3,sv_phi__IP_growth,971.7055033210506
BVAR-SV-final-chain3,3,sv_phi__Bund2Y_change,1039.1300690661324
BVAR-SV-final-chain3,3,sv_phi__CISS_change,1019.832868150038
BVAR-SV-final-chain3,3,sv_phi__GreenEquity_relative,321.8764482724702
BVAR-SV-final-chain3,3,sv_phi__GreenBond_relative,993.5975997190985
BVAR-SV-final-chain3,3,sv_sigma2__EUA_ret,344.8947791161868
BVAR-SV-final-chain3,3,sv_sigma2__TTF_ret,311.22120542536595
BVAR-SV-final-chain3,3,sv_sigma2__Brent_ret,375.134103084526
BVAR-SV-final-chain3,3,sv_sigma2__Power_ret,483.304964378467
BVAR-SV-final-chain3,3,sv_sigma2__CPI_yoy_change,346.0012618224462
BVAR-SV-final-chain3,3,sv_sigma2__IP_growth,546.694431506453
BVAR-SV-final-chain3,3,sv_sigma2__Bund2Y_change,340.4234415642002
BVAR-SV-final-chain3,3,sv_sigma2__CISS_change,611.7857962306439
BVAR-SV-final-chain3,3,sv_sigma2__GreenEquity_relative,172.96127567026605
BVAR-SV-final-chain3,3,sv_sigma2__GreenBond_relative,429.57099408822694
BVAR-SV-final-chain3,3,cholesky_U_1,10000.000000000025
BVAR-SV-final-chain3,3,cholesky_U_2,9334.125322104455
BVAR-SV-final-chain3,3,cholesky_U_3,10344.268668827435
BVAR-SV-final-chain3,3,cholesky_U_4,10000.000000000022
BVAR-SV-final-chain3,3,cholesky_U_5,7412.674647216537
BVAR-SV-final-chain3,3,cholesky_U_6,10098.008043144991
BVAR-SV-final-chain3,3,cholesky_U_7,6374.2881034105685
BVAR-SV-final-chain3,3,cholesky_U_8,4068.0374386870108
BVAR-SV-final-chain3,3,cholesky_U_9,1341.4788621364637
BVAR-SV-final-chain3,3,cholesky_U_10,6397.012711515546
