parameter,mean,sd,rhat,ess_bulk,ess_tail,mcse_mean,model_group,rhat_pass,bulk_ess_pass,tail_ess_pass
lag1__EUA_ret__to__GreenEquity_relative,-0.011298929550056902,0.029915594509528687,1.0001683100974168,27778.23672272989,27319.608983744623,1.7942631884987405e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__TTF_ret__to__GreenEquity_relative,-0.0030504944367429994,0.01795932777537314,1.0000522131762466,30412.261290189745,28601.81832489771,1.0297503577775796e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__Brent_ret__to__GreenEquity_relative,-0.004331490021540506,0.02838219778359737,1.0000387354863245,29743.007360995896,24254.369339581444,1.6460416943652695e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__Power_ret__to__GreenEquity_relative,0.005044617719899384,0.06528931587415535,1.000032147307548,29690.402378843646,27401.425742246985,3.78933202894112e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__CPI_yoy_change__to__GreenEquity_relative,-0.08029620949432896,0.9168688607736222,1.000010505660551,29819.02309369958,27820.641976932762,0.005311283295042732,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__IP_growth__to__GreenEquity_relative,0.03675025942580658,0.13313572529435844,0.9999824424726355,29475.318944051676,26926.054879411895,7.763829315452441e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__Bund2Y_change__to__GreenEquity_relative,-0.6528239145663575,1.7826696267560707,1.0001316914886298,28021.77373752659,26479.22134278152,0.010653287723469256,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__CISS_change__to__GreenEquity_relative,-0.00977405973424237,0.037465632240376655,1.0000768707928185,28666.92840163495,25739.0863505119,2.2151768935497278e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
intercept__GreenEquity_relative,0.002269389678152802,0.005167620892790858,0.9999826079867383,29185.55370874851,29050.38640101859,3.0256838326242128e-5,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__EUA_ret__to__GreenBond_relative,-5.420863509079167e-5,0.0017308132445136987,1.0002751597075594,28487.460349843135,25500.10038520737,1.0252240882764132e-5,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__TTF_ret__to__GreenBond_relative,-4.303269687488701e-5,0.001045974801489438,1.0000365602577557,29929.223972477885,24223.75392000922,6.046789257416353e-6,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__Brent_ret__to__GreenBond_relative,-1.4885538373186636e-4,0.001626860444802531,1.0003098924162883,29633.363157769945,24642.167611538636,9.45543137600584e-6,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__Power_ret__to__GreenBond_relative,-1.831691040229584e-4,0.004051381022771632,1.0001353250462097,29632.693337523116,27492.475824683144,2.353511871838083e-5,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__CPI_yoy_change__to__GreenBond_relative,-0.00637351536361218,0.05629745063660452,1.0001680652206124,30117.55922583467,25522.825473729878,3.243670544949799e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__IP_growth__to__GreenBond_relative,1.8481807263082744e-5,0.007875108045811987,1.0002856297664868,30287.027492252866,24295.336541455916,4.527671642221326e-5,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
lag1__Bund2Y_change__to__GreenBond_relative,-0.009848996524081971,0.10472967611749141,1.0004683993582275,29485.181947291832,24140.323527185374,6.099706316907133e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
