parameter,mean,sd,rhat,ess_bulk,ess_tail,mcse_mean,model_group,rhat_pass,bulk_ess_pass,tail_ess_pass
sv_mu__GreenBond_relative,-12.548720706434644,1.7805554919560354,1.000325171996709,4002.753434633642,2738.335718225122,0.026087520211483826,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__EUA_ret,0.8029244985919117,0.10026973743282439,1.0015666288121403,1560.828144208845,2646.0595092903586,0.002601612017562994,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__TTF_ret,0.9526855125667344,0.03271662669703941,1.0007509032539599,2380.3860161722127,3774.404951702588,7.037507416453202e-4,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__Brent_ret,0.7858121950747229,0.09991752109273544,1.0021067176444751,1257.9740724253677,3137.021021011065,0.002816511807149408,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__Power_ret,0.86671084512093155,0.06399480213315947,1.002205693683713,2369.0258250236357,5531.225499723298,0.0013147340798969867,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__CPI_yoy_change,0.9235062773297379,0.05178826361650283,1.00120927804934,1402.7110919669776,1775.143545545087,0.0015731094006596026,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__IP_growth,0.8589715236534662,0.0628559403731942,1.0009984247904622,3189.9545972082124,5948.121847207817,0.0011294815848237358,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__Bund2Y_change,0.9481131202752071,0.03207234422664936,1.0016580172606793,2767.770267338175,6395.927979672279,6.210617908597656e-4,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__CISS_change,0.8751407456280789,0.056594088213341935,1.0016396800362706,2577.2032473002214,3425.8983730111386,0.0010903156413605494,BVAR-SV-final,TRUE,TRUE,TRUE
sv_phi__GreenEquity_relative,0.8816177961516706,0.09090399808496503,1.000778070410458,781.5377472636178,1858.2309433991911,0.0031600976813134264,BVAR-SV-final,TRUE,FALSE,TRUE
sv_phi__GreenBond_relative,0.9538011101340105,0.029857886750831248,1.0013524909265843,2980.0276322573586,5873.6968446020255,5.56289427563135e-4,BVAR-SV-final,TRUE,TRUE,TRUE
sv_sigma2__EUA_ret,0.5393147734781092,0.1663534147758283,1.004595688573313,1074.4272587960386,2107.9507737040644,0.005059762565293299,BVAR-SV-final,TRUE,TRUE,TRUE
sv_sigma2__TTF_ret,0.34287642022652465,0.10230375269831933,1.0012381091205118,1025.187700147335,1766.5750832905378,0.003212565281403399,BVAR-SV-final,TRUE,TRUE,TRUE
sv_sigma2__Brent_ret,0.6512292955536257,0.15730425251776217,1.0028717258031024,967.0850351604694,2534.6124678197098,0.005020603554907224,BVAR-SV-final,TRUE,FALSE,TRUE
sv_sigma2__Power_ret,0.6222992722820535,0.15239192961453735,1.0041450784975476,1203.0067090979737,2224.7717295307602,0.004351751697326216,BVAR-SV-final,TRUE,TRUE,TRUE
sv_sigma2__CPI_yoy_change,0.3648204096749612,0.11581564284506435,1.0031629708632903,872.9749325142219,1789.612852481473,0.0040052549381739576,BVAR-SV-final,TRUE,FALSE,TRUE
sv_sigma2__IP_growth,0.7511956831005024,0.14591318843610834,1.000984593053671,1699.6139537743802,3804.7137824146494,0.0035343355099761112,BVAR-SV-final,TRUE,TRUE,TRUE
sv_sigma2__Bund2Y_change,0.5650348997384468,0.130973517632533,1.0021021042946003,847.3353542272163,1829.100679121114,0.004421468908960309,BVAR-SV-final,TRUE,FALSE,TRUE
sv_sigma2__CISS_change,1.1313064890224809,0.17159779920744153,1.0050056106293261,1366.9846557473866,3484.8041831772775,0.004576422999686828,BVAR-SV-final,TRUE,TRUE,TRUE
sv_sigma2__GreenEquity_relative,0.3983529802704171,0.18136759296696264,1.0014602155056156,566.3596559715331,1354.018362056652,0.00753870863903808,BVAR-SV-final,TRUE,FALSE,TRUE
sv_sigma2__GreenBond_relative,0.5238948579580546,0.12040024409527703,1.0028482166171346,1221.3467833153986,2779.9800111349373,0.0034163042918622603,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_1,-9.264541431241843e-5,0.001631715279349712,1.0004734806923772,29759.599215248865,13211.644458068902,9.496221485839352e-6,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_2,-1.139786052647309e-4,0.0016099601271008645,1.0005381826677993,29043.709399362684,13837.732884688945,9.499244161366164e-6,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_3,-6.948951500097716e-5,0.0016237503165016202,1.0003911518783877,29835.828769360574,12889.40173269152,9.451386745593272e-6,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_4,-1.6099838591596353e-4,0.0016339606694837727,1.0004910284047803,28769.962177231893,15054.539297618265,9.709480143190457e-6,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_5,-3.8539360825524054e-4,0.0016471369995425024,1.0003498047278874,23410.209440458955,10577.906916770018,1.1616115042752982e-5,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_6,-9.150101218027917e-5,0.001621742771267821,1.000394555074065,30226.812909736276,13587.560999203355,9.32910410211727e-6,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_7,-4.2042561223554214e-4,0.0012139469907476279,1.0000345345600274,17424.118902686238,14233.50433515871,9.245710645019881e-6,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_8,-9.155095516935762e-4,0.0011098399216854546,1.0002698952178908,9575.621687188544,15019.177670178758,1.154198844266973e-5,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_9,-0.001716833594523547,0.0014044341186046961,1.0004974955804404,2805.2863368697926,8175.570170185713,2.6730662398632923e-5,BVAR-SV-final,TRUE,TRUE,TRUE
cholesky_U_10,-3.6650418599791675e-4,0.0015233239762130497,1.000078090050357,19351.875237978682,12589.719724205546,1.1285183559711044e-5,BVAR-SV-final,TRUE,TRUE,TRUE
