model_id,variable,statistic,observed,simulated_median,simulated_q05,simulated_q95,posterior_predictive_p_value,note
BVAR-HOM-final-chain1,CPI_yoy_change,kurtosis,6.631692000595132,2.907072603139544,2.4393319599343846,3.6572733149345455,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CPI_yoy_change,minimum,-0.016,-0.03245521678238875,-0.04330220929007533,-0.02486780557438627,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CPI_yoy_change,maximum,0.016,0.032874329223925844,0.025353217161025444,0.04374466558396331,1,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CPI_yoy_change,max_abs,0.016,0.035698107153896416,0.028494540510482044,0.045960354740877646,1,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,IP_growth,mean,5.992171110858908e-4,6.074796874118384e-4,-0.0043394788180564714,0.005521355435507625,0.5015,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,IP_growth,sd,0.02581837239195311,0.02711591660621732,0.023750554057385687,0.030927936761986873,0.72905,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,IP_growth,skewness,-3.0687433432096434,-0.08615257094835949,-0.5076586727114748,0.27178376951402605,1,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,IP_growth,kurtosis,35.44321879132087,3.076857673748318,2.4980808993264816,4.401065042355951,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,IP_growth,minimum,-0.20422444967817557,-0.07624054993199048,-0.11253966417444508,-0.05602190004718267,1,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,IP_growth,maximum,0.1235163743644847,0.07031258478978708,0.054177755459584476,0.09402105551161107,8.5e-4,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,IP_growth,max_abs,0.20422444967817557,0.08130280634706114,0.06354324513342963,0.11354895908156958,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,Bund2Y_change,mean,1.73611111111111e-4,1.7323635231686262e-4,-0.0021902174519846593,0.002535553472367416,0.49985,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,Bund2Y_change,sd,0.0018624998657196606,0.012062439470679597,0.010498652120399094,0.01382526872663423,1,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,Bund2Y_change,skewness,1.4081783744213106,-4.2528341317207906e-4,-0.3292154941418684,0.3273164861671447,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,Bund2Y_change,kurtosis,8.233557414469958,2.903200046948875,2.4418357442573115,3.641967542307089,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,Bund2Y_change,minimum,-0.00455,-0.031174119825991324,-0.041523600052470924,-0.023899802925051675,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,Bund2Y_change,maximum,0.0092,0.031513229645100116,0.024194094636634546,0.04201655342403436,1,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,Bund2Y_change,max_abs,0.0092,0.03426469331098632,0.02742984876686381,0.04406477888635163,1,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CISS_change,mean,9.027777777778038e-6,9.415267882997727e-5,-0.01765581298183365,0.017474089980108336,0.5034,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CISS_change,sd,0.09287734592709225,0.09380476414157332,0.08195171549210406,0.10744364213352099,0.5485,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CISS_change,skewness,1.4944945024903935,-0.013266986714519839,-0.35300635140886266,0.322174879941994,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CISS_change,kurtosis,10.913873127337386,2.935552863099753,2.4527639933060366,3.7457692276656536,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CISS_change,minimum,-0.2859999999999999,-0.24730465674431512,-0.33220537102997594,-0.188329309106291,0.79385,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CISS_change,maximum,0.49649999999999994,0.2435109902642256,0.18731360548449819,0.3257683213537668,0,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,CISS_change,max_abs,0.49649999999999994,0.269037223515552,0.2144195403010826,0.3488213632186467,2e-4,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,GreenEquity_relative,mean,0.0018887929496982359,0.0018443641274497936,-0.009925523374742224,0.013867861842736025,0.4979,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,GreenEquity_relative,sd,0.05888634542769135,0.06182066535576903,0.05388272605897408,0.07110461404468954,0.7175,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,GreenEquity_relative,skewness,0.30963888942253415,2.5219277261613425e-4,-0.3266099746511217,0.32664831643107595,0.05895,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
BVAR-HOM-final-chain1,GreenEquity_relative,kurtosis,4.36547831951473,2.9059301642856736,2.436404276153494,3.666071128803362,0.00575,Replicated data are generated from fitted reduced-form predictions and posterior residual volatility.
