model,lag,variance_type,prior,stable_draws,unstable_pct,max_rhat,min_bulk_ess,residual_autocorrelation_rejections,squared_residual_autocorrelation_rejections,joint_log_predictive_likelihood,green_assets_log_predictive_likelihood,green_rmse_mean,green_mae_mean,green_coverage_68_mean,green_coverage_90_mean,estimation_time_seconds,warning
BVAR-HOM-p1,1,homoskedastic,"HMP coefficients, HMP Cholesky covariance",2000,0,1.030420788305147,1016.6810971330924,12,12,220.18889721391668,52.252499296914536,0.04454843256132973,0.034271235733246946,0.7916666666666667,0.9583333333333333,3.935216903686523,NA
BVAR-HOM-p2,2,homoskedastic,"HMP coefficients, HMP Cholesky covariance",1995,0.25,NA,NA,5,12,217.99315334831655,52.37653519103803,0.044648286444303846,0.034263189334072165,0.75,0.9583333333333333,9.80267882347107,NA
BVAR-SV-p1,1,sv,"HMP coefficients, HMP Cholesky covariance",2000,0,1.037699459200929,539.830840100328,3,4,302.9184408647801,78.4439491357211,0.043280107113507306,0.03321590952093421,0.7083333333333333,0.9166666666666667,8.654885053634644,NA
BVAR-SV-p2,2,sv,"HMP coefficients, HMP Cholesky covariance",2000,0,NA,NA,2,2,301.2823581687019,77.98962302548442,0.043722055292804714,0.03354443222408287,0.7083333333333333,0.9166666666666667,14.709797859191896,NA
