model_id,variable,lag,statistic,p_value,squared_residual,warning
BVAR-HOM-final-chain1,GreenEquity_relative,6,13.716432193664494,0.03296925443621679,FALSE,
BVAR-HOM-final-chain1,GreenEquity_relative,12,17.450076089892708,0.1334367801638271,FALSE,
BVAR-HOM-final-chain1,GreenBond_relative,6,16.13445812319761,0.013050185719209573,FALSE,
BVAR-HOM-final-chain1,GreenBond_relative,12,21.87246810664644,0.03897424793554627,FALSE,
BVAR-HOM-final-chain2,EUA_ret,6,7.918758683811898,0.2441158974805595,FALSE,
BVAR-HOM-final-chain2,EUA_ret,12,10.88236587804311,0.5390260017264995,FALSE,
BVAR-HOM-final-chain2,TTF_ret,6,13.042961565395744,0.042358764202753973,FALSE,
BVAR-HOM-final-chain2,TTF_ret,12,23.835857599439915,0.021412060723737247,FALSE,
BVAR-HOM-final-chain2,Brent_ret,6,6.487947594289736,0.370802121609053,FALSE,
BVAR-HOM-final-chain2,Brent_ret,12,10.530786496563863,0.5694991009504309,FALSE,
BVAR-HOM-final-chain2,Power_ret,6,25.60785805808524,2.6337402291432e-4,FALSE,
BVAR-HOM-final-chain2,Power_ret,12,44.51509517749281,1.247410632931878e-5,FALSE,
BVAR-HOM-final-chain2,CPI_yoy_change,6,57.771600949636124,1.2748002653495405e-10,FALSE,
BVAR-HOM-final-chain2,CPI_yoy_change,12,88.46486008593641,9.781064846947629e-14,FALSE,
BVAR-HOM-final-chain2,IP_growth,6,21.746400095498867,0.0013458746508188124,FALSE,
BVAR-HOM-final-chain2,IP_growth,12,28.192213375379882,0.0051847326093319435,FALSE,
BVAR-HOM-final-chain2,Bund2Y_change,6,8.514275734810434,0.20279329892699838,FALSE,
BVAR-HOM-final-chain2,Bund2Y_change,12,28.638468667228963,0.004456903198274742,FALSE,
BVAR-HOM-final-chain2,CISS_change,6,10.516109509687825,0.10453330459809951,FALSE,
BVAR-HOM-final-chain2,CISS_change,12,18.10333453349609,0.1125887638734534,FALSE,
BVAR-HOM-final-chain2,GreenEquity_relative,6,13.641684404991361,0.03390516117250819,FALSE,
BVAR-HOM-final-chain2,GreenEquity_relative,12,17.381639152797572,0.13579644698266413,FALSE,
BVAR-HOM-final-chain2,GreenBond_relative,6,16.338442423858503,0.012048204111067218,FALSE,
BVAR-HOM-final-chain2,GreenBond_relative,12,22.08233051562167,0.03660737889312349,FALSE,
BVAR-HOM-final-chain3,EUA_ret,6,7.913815232782737,0.2444856860242015,FALSE,
BVAR-HOM-final-chain3,EUA_ret,12,10.864144591900555,0.5405960684260764,FALSE,
